InventoryID,ProductID,Warehouse,StockAvailable,ReorderLevel,LastRestocked,Supplier,ProductName,Category,SubCategory,CostPrice,SellingPrice,InventoryValue,Contribution,Cumulative,ABC_Category
17,17,Mumbai,497,36,2026-06-19,Sahni-Dhar,Shoes 17,Clothing,Shoes,3312,5507.45,1646064,0.52,19.45,A
324,324,Hyderabad,431,71,2026-06-24,"Goswami, Varughese and Guha",Cricket Bat 324,Sports,Cricket Bat,3816,5158.54,1644696,0.52,19.97,A
284,284,Hyderabad,343,68,2026-05-05,"Boase, Chad and Kaur",Tablet 284,Electronics,Tablet,4761,8568.37,1633023,0.52,20.48,A
292,292,Mumbai,351,51,2026-05-08,Narayan-Chakraborty,Phone 292,Electronics,Phone,4615,6327.17,1619865,0.51,20.99,A
83,83,Hyderabad,478,46,2026-05-09,"Maharaj, Bahri and Padmanabhan",Helmet 83,Sports,Helmet,3386,4427.09,1618508,0.51,21.51,A
249,249,Delhi,479,57,2026-05-27,Sarraf-Mahal,Laptop 249,Electronics,Laptop,3358,5564.05,1608482,0.51,22.01,A
374,374,Mumbai,369,76,2026-07-06,"Rastogi, Buch and Kara",Lamp 374,Home,Lamp,4352,7514.29,1605888,0.51,22.52,A
200,200,Mumbai,455,31,2026-06-09,Soni Inc,Shoes 200,Clothing,Shoes,3484,5833.88,1585220,0.5,23.02,A
149,149,Hyderabad,427,28,2026-04-25,Rout PLC,Headphones 149,Electronics,Headphones,3645,7209.65,1556415,0.49,23.51,A
14,14,Delhi,312,23,2026-05-15,Bassi Inc,Tablet 14,Electronics,Tablet,4979,7580.94,1553448,0.49,24.0,A
415,415,Delhi,458,65,2026-06-25,Natt LLC,Tablet 415,Electronics,Tablet,3371,4663.41,1543918,0.49,24.49,A
270,270,Delhi,324,79,2026-06-23,"Kar, Wadhwa and Sarna",Helmet 270,Sports,Helmet,4733,8938.57,1533492,0.48,24.97,A
117,117,Bengaluru,423,55,2026-06-07,Dyal-Nigam,Chair 117,Home,Chair,3581,5286.53,1514763,0.48,25.45,A
47,47,Mumbai,348,55,2026-06-30,"Karnik, Dar and Krishna",Football 47,Sports,Football,4325,5628.65,1505100,0.48,25.93,A
138,138,Hyderabad,352,41,2026-06-14,Sarraf-Joshi,Laptop 138,Electronics,Laptop,4260,7979.07,1499520,0.47,26.4,A
372,372,Mumbai,491,30,2026-04-28,"Sur, Sharma and Kulkarni",Laptop 372,Electronics,Laptop,3025,5603.0,1485275,0.47,26.87,A
220,220,Bengaluru,327,50,2026-05-18,Prabhakar-Maharaj,Laptop 220,Electronics,Laptop,4530,8831.39,1481310,0.47,27.34,A
391,391,Hyderabad,410,28,2026-07-14,Tandon Inc,Shoes 391,Clothing,Shoes,3596,4565.79,1474360,0.47,27.8,A
256,256,Bengaluru,461,69,2026-05-02,"Ghose, Bahl and Jhaveri",Gloves 256,Sports,Gloves,3188,5760.75,1469668,0.46,28.27,A
434,434,Bengaluru,392,35,2026-06-28,Iyengar-Chakrabarti,Jeans 434,Clothing,Jeans,3686,6345.92,1444912,0.46,28.72,A
98,98,Bengaluru,463,57,2026-06-22,"Sen, Dhar and Varma",Table 98,Home,Table,3118,6194.6,1443634,0.46,29.18,A
280,280,Mumbai,478,67,2026-07-07,Menon Group,Shirt 280,Clothing,Shirt,2988,5753.46,1428264,0.45,29.63,A
453,453,Hyderabad,381,20,2026-07-15,Vaidya-Tella,Shoes 453,Clothing,Shoes,3715,4693.02,1415415,0.45,30.08,A
190,190,Hyderabad,345,62,2026-05-01,"Chopra, Sandhu and Bora",Chair 190,Home,Chair,4044,5066.04,1395180,0.44,30.52,A
379,379,Delhi,285,78,2026-07-15,"Mander, Nori and Patil",Table 379,Home,Table,4799,8416.68,1367715,0.43,30.95,A
103,103,Hyderabad,474,74,2026-05-10,"Bassi, Balay and Bal",Fan 103,Home,Fan,2873,5147.88,1361802,0.43,31.38,A
132,132,Mumbai,409,50,2026-06-05,Gala PLC,Football 132,Sports,Football,3310,6408.03,1353790,0.43,31.8,A
245,245,Bengaluru,461,24,2026-05-13,Lad PLC,Jacket 245,Clothing,Jacket,2935,5306.4,1353035,0.43,32.23,A
342,342,Bengaluru,431,59,2026-05-19,Ranganathan PLC,Shoes 342,Clothing,Shoes,3136,5178.96,1351616,0.43,32.66,A
360,360,Mumbai,302,38,2026-07-13,Malhotra Ltd,Headphones 360,Electronics,Headphones,4448,8262.43,1343296,0.42,33.08,A
459,459,Delhi,497,44,2026-05-21,Puri and Sons,Shirt 459,Clothing,Shirt,2672,4519.06,1327984,0.42,33.5,A
498,498,Hyderabad,359,32,2026-05-19,Dayal-Bhatnagar,Headphones 498,Electronics,Headphones,3689,7051.21,1324351,0.42,33.92,A
96,96,Mumbai,455,60,2026-06-09,Mital-Toor,Shoes 96,Clothing,Shoes,2902,4011.67,1320410,0.42,34.34,A
76,76,Hyderabad,385,72,2026-05-03,Vala-Barad,Lamp 76,Home,Lamp,3413,6487.12,1314005,0.41,34.75,A
154,154,Bengaluru,333,33,2026-06-18,Seshadri-Tara,Helmet 154,Sports,Helmet,3945,4866.42,1313685,0.41,35.17,A
173,173,Mumbai,351,23,2026-05-10,Bhatti Inc,Cricket Bat 173,Sports,Cricket Bat,3669,5184.36,1287819,0.41,35.57,A
203,203,Mumbai,296,42,2026-06-14,Mishra-Babu,Football 203,Sports,Football,4316,8375.44,1277536,0.4,35.98,A
310,310,Mumbai,261,64,2026-06-24,Pingle-Raman,Phone 310,Electronics,Phone,4868,8758.79,1270548,0.4,36.38,A
84,84,Mumbai,385,22,2026-05-29,Sankar-Merchant,Chair 84,Home,Chair,3296,4028.37,1268960,0.4,36.78,A
113,113,Mumbai,277,74,2026-06-09,Brahmbhatt Inc,Jacket 113,Clothing,Jacket,4567,7318.31,1265059,0.4,37.18,A
351,351,Bengaluru,330,50,2026-06-27,Lal-Kannan,Shirt 351,Clothing,Shirt,3812,7227.9,1257960,0.4,37.57,A
380,380,Delhi,374,34,2026-05-02,Tiwari-Dalal,Phone 380,Electronics,Phone,3360,5454.18,1256640,0.4,37.97,A
445,445,Delhi,481,40,2026-05-29,Uppal PLC,Gloves 445,Sports,Gloves,2608,3774.69,1254448,0.4,38.37,A
271,271,Hyderabad,252,54,2026-07-02,Gokhale LLC,Phone 271,Electronics,Phone,4961,8877.99,1250172,0.39,38.76,A
158,158,Mumbai,380,22,2026-06-05,Srinivasan LLC,Cricket Bat 158,Sports,Cricket Bat,3281,5530.28,1246780,0.39,39.15,A
110,110,Delhi,273,44,2026-06-23,"Loke, Sama and Kalla",Chair 110,Home,Chair,4547,5677.49,1241331,0.39,39.55,A
300,300,Mumbai,334,42,2026-06-11,"Din, Boase and Peri",Jeans 300,Clothing,Jeans,3695,5906.17,1234130,0.39,39.94,A
487,487,Hyderabad,441,46,2026-06-22,Loyal-Minhas,Jacket 487,Clothing,Jacket,2780,4217.92,1225980,0.39,40.32,A
407,407,Bengaluru,385,77,2026-05-06,Aurora-Chada,Table 407,Home,Table,3144,5423.0,1210440,0.38,40.71,A
424,424,Hyderabad,301,32,2026-07-14,Rao Ltd,Shirt 424,Clothing,Shirt,4008,7385.71,1206408,0.38,41.09,A
9,9,Hyderabad,252,53,2026-05-25,Saran LLC,Table 9,Home,Table,4778,9490.47,1204056,0.38,41.47,A
323,323,Hyderabad,464,25,2026-05-19,Bains PLC,Chair 323,Home,Chair,2576,4425.0,1195264,0.38,41.84,A
276,276,Delhi,238,38,2026-05-03,Pingle PLC,Football 276,Sports,Football,4981,6479.61,1185478,0.37,42.22,A
470,470,Delhi,246,22,2026-06-30,"Issac, Arora and Narasimhan",Cricket Bat 470,Sports,Cricket Bat,4815,8355.02,1184490,0.37,42.59,A
196,196,Delhi,303,29,2026-05-22,Biswas-Mitter,Laptop 196,Electronics,Laptop,3887,4884.81,1177761,0.37,42.96,A
97,97,Delhi,264,77,2026-05-21,Singh LLC,Fan 97,Home,Fan,4460,5523.6,1177440,0.37,43.33,A
478,478,Delhi,492,23,2026-05-17,Tandon-Mahal,Tablet 478,Electronics,Tablet,2378,3931.66,1169976,0.37,43.7,A
464,464,Bengaluru,346,34,2026-06-03,Sabharwal-Sidhu,Chair 464,Home,Chair,3340,5529.4,1155640,0.36,44.07,A
309,309,Bengaluru,447,72,2026-05-19,Date-Kohli,Headphones 309,Electronics,Headphones,2545,3823.85,1137615,0.36,44.43,A
467,467,Mumbai,499,59,2026-06-29,"Joshi, Raja and Vyas",Fan 467,Home,Fan,2261,2744.27,1128239,0.36,44.78,A
348,348,Delhi,331,27,2026-05-06,Kanda-Lall,Table 348,Home,Table,3369,5648.99,1115139,0.35,45.14,A
189,189,Delhi,245,36,2026-06-26,Verma-Ramesh,Headphones 189,Electronics,Headphones,4542,8808.56,1112790,0.35,45.49,A
462,462,Hyderabad,446,71,2026-04-22,Bir Ltd,Lamp 462,Home,Lamp,2493,4478.08,1111878,0.35,45.84,A
156,156,Mumbai,242,26,2026-06-16,"Hari, Dada and Krishna",Gloves 156,Sports,Gloves,4591,6252.22,1111022,0.35,46.19,A
66,66,Mumbai,435,55,2026-07-09,"Nagy, Sha and Pillay",Table 66,Home,Table,2547,4137.05,1107945,0.35,46.54,A
142,142,Bengaluru,408,80,2026-05-15,Agrawal-Thakur,Jacket 142,Clothing,Jacket,2715,4669.53,1107720,0.35,46.89,A
50,50,Hyderabad,472,31,2026-06-12,"Biswas, Prasad and Batra",Shirt 50,Clothing,Shirt,2324,2936.83,1096928,0.35,47.23,A
359,359,Bengaluru,245,38,2026-07-03,Chakraborty Group,Laptop 359,Electronics,Laptop,4475,7681.31,1096375,0.35,47.58,A
18,18,Delhi,475,32,2026-06-30,Chana Group,Football 18,Sports,Football,2288,2824.55,1086800,0.34,47.92,A
210,210,Bengaluru,465,78,2026-05-06,Pandya Group,Headphones 210,Electronics,Headphones,2336,4632.78,1086240,0.34,48.27,A
216,216,Bengaluru,457,42,2026-06-07,Yohannan-Dhingra,Gloves 216,Sports,Gloves,2366,4173.03,1081262,0.34,48.61,A
460,460,Bengaluru,364,22,2026-05-19,Arya-Garg,Fan 460,Home,Fan,2956,5728.97,1075984,0.34,48.95,A
157,157,Mumbai,240,61,2026-07-19,Dugal-Bhakta,Shoes 157,Clothing,Shoes,4476,7969.48,1074240,0.34,49.29,A
423,423,Bengaluru,234,22,2026-05-04,Banik-Dugar,Fan 423,Home,Fan,4582,7318.92,1072188,0.34,49.63,A
72,72,Delhi,370,80,2026-06-07,Dhingra-Tailor,Gloves 72,Sports,Gloves,2884,4700.96,1067080,0.34,49.96,A
395,395,Hyderabad,329,68,2026-05-25,Mital Inc,Jeans 395,Clothing,Jeans,3222,3965.83,1060038,0.33,50.3,A
150,150,Bengaluru,460,70,2026-05-15,"Sandal, Sekhon and Andra",Gloves 150,Sports,Gloves,2300,2929.33,1058000,0.33,50.63,A
58,58,Mumbai,498,59,2026-05-13,Butala-Maharaj,Helmet 58,Sports,Helmet,2118,3722.58,1054764,0.33,50.96,A
73,73,Bengaluru,400,50,2026-05-02,Kadakia Inc,Headphones 73,Electronics,Headphones,2627,4766.44,1050800,0.33,51.3,A
430,430,Bengaluru,235,51,2026-04-26,Ghosh PLC,Gloves 430,Sports,Gloves,4457,7368.42,1047395,0.33,51.63,A
86,86,Hyderabad,328,78,2026-06-22,"Minhas, Pillay and Nazareth",Laptop 86,Electronics,Laptop,3151,6076.94,1033528,0.33,51.95,A
159,159,Hyderabad,228,72,2026-07-03,Rattan-Kohli,Phone 159,Electronics,Phone,4523,6995.99,1031244,0.33,52.28,A
53,53,Hyderabad,454,50,2026-05-04,Chad Group,Gloves 53,Sports,Gloves,2271,3717.02,1031034,0.33,52.6,A
250,250,Bengaluru,223,25,2026-07-17,Kar-Thaman,Laptop 250,Electronics,Laptop,4578,6910.43,1020894,0.32,52.93,A
48,48,Bengaluru,222,79,2026-06-28,Bhardwaj-Modi,Chair 48,Home,Chair,4578,7475.11,1016316,0.32,53.25,A
474,474,Bengaluru,395,66,2026-05-11,Salvi LLC,Helmet 474,Sports,Helmet,2568,4928.99,1014360,0.32,53.57,A
163,163,Hyderabad,315,49,2026-06-19,"Bajwa, Kant and Karan",Headphones 163,Electronics,Headphones,3188,3885.21,1004220,0.32,53.88,A
370,370,Mumbai,292,39,2026-05-11,Chaudhary-More,Helmet 370,Sports,Helmet,3431,4634.05,1001852,0.32,54.2,A
3,3,Mumbai,320,31,2026-06-29,Banerjee-Sandal,Phone 3,Electronics,Phone,3125,5460.87,1000000,0.32,54.52,A
225,225,Hyderabad,304,31,2026-05-28,"Chand, Sinha and Aggarwal",Fan 225,Home,Fan,3287,4086.35,999248,0.32,54.83,A
64,64,Mumbai,316,79,2026-07-15,Vala PLC,Lamp 64,Home,Lamp,3150,5290.72,995400,0.31,55.15,A
128,128,Hyderabad,457,55,2026-05-21,Dutt-Wali,Headphones 128,Electronics,Headphones,2169,2906.51,991233,0.31,55.46,A
176,176,Mumbai,427,57,2026-05-09,"Pillai, Devan and Dixit",Lamp 176,Home,Lamp,2282,4411.1,974414,0.31,55.77,A
119,119,Delhi,434,22,2026-07-14,Lanka-Solanki,Lamp 119,Home,Lamp,2245,3461.79,974330,0.31,56.07,A
356,356,Hyderabad,361,50,2026-07-09,"Taneja, Jain and Lad",Tablet 356,Electronics,Tablet,2694,5142.59,972534,0.31,56.38,A
425,425,Bengaluru,441,26,2026-04-25,Soni-Dubey,Shirt 425,Clothing,Shirt,2177,2906.26,960057,0.3,56.68,A
491,491,Mumbai,449,66,2026-05-03,"De, Mukherjee and Gupta",Shirt 491,Clothing,Shirt,2137,2897.61,959513,0.3,56.99,A
466,466,Hyderabad,491,72,2026-07-15,Gaba LLC,Helmet 466,Sports,Helmet,1954,3243.51,959414,0.3,57.29,A
215,215,Bengaluru,340,29,2026-05-06,"Roy, Yadav and Tandon",Shirt 215,Clothing,Shirt,2810,4122.82,955400,0.3,57.59,A
32,32,Bengaluru,417,68,2026-05-16,Wable-Munshi,Phone 32,Electronics,Phone,2278,3707.9,949926,0.3,57.89,A
178,178,Hyderabad,256,29,2026-07-05,Sood and Sons,Tablet 178,Electronics,Tablet,3664,6681.68,937984,0.3,58.19,A
51,51,Mumbai,216,58,2026-05-08,Gaba Ltd,Fan 51,Home,Fan,4335,8142.14,936360,0.3,58.48,A
251,251,Hyderabad,413,35,2026-06-25,Cherian and Sons,Gloves 251,Sports,Gloves,2252,2781.83,930076,0.29,58.78,A
233,233,Mumbai,250,44,2026-07-01,Chaudhari PLC,Lamp 233,Home,Lamp,3705,6324.34,926250,0.29,59.07,A
69,69,Delhi,221,79,2026-06-14,Sengupta-Bajaj,Gloves 69,Sports,Gloves,4175,6380.94,922675,0.29,59.36,A
389,389,Mumbai,375,32,2026-05-11,"Pai, Raman and Loke",Shirt 389,Clothing,Shirt,2453,3657.11,919875,0.29,59.65,A
41,41,Hyderabad,196,67,2026-04-26,Baral Ltd,Lamp 41,Home,Lamp,4657,7492.34,912772,0.29,59.94,A
301,301,Bengaluru,433,33,2026-06-19,Gour-Kaur,Shirt 301,Clothing,Shirt,2096,3140.53,907568,0.29,60.22,A
465,465,Delhi,403,46,2026-07-05,Bath LLC,Jeans 465,Clothing,Jeans,2217,3149.54,893451,0.28,60.51,A
219,219,Hyderabad,189,65,2026-05-19,Andra PLC,Jeans 219,Clothing,Jeans,4724,6359.53,892836,0.28,60.79,A
194,194,Hyderabad,289,63,2026-07-06,Peri LLC,Laptop 194,Electronics,Laptop,3071,4243.91,887519,0.28,61.07,A
294,294,Mumbai,405,58,2026-06-20,"Varkey, Pingle and Dada",Shirt 294,Clothing,Shirt,2164,2750.32,876420,0.28,61.34,A
49,49,Bengaluru,223,70,2026-05-05,Nori Group,Headphones 49,Electronics,Headphones,3882,7246.38,865686,0.27,61.62,A
403,403,Mumbai,346,43,2026-04-27,D’Alia-Kanda,Laptop 403,Electronics,Laptop,2492,3496.29,862232,0.27,61.89,A
54,54,Bengaluru,187,71,2026-07-17,"Rajagopalan, Seth and Narula",Shoes 54,Clothing,Shoes,4601,7142.03,860387,0.27,62.16,A
257,257,Hyderabad,308,69,2026-06-15,Krish-Munshi,Jacket 257,Clothing,Jacket,2787,3362.35,858396,0.27,62.43,A
392,392,Hyderabad,217,51,2026-07-09,Morar-Nadig,Chair 392,Home,Chair,3946,5988.75,856282,0.27,62.7,A
428,428,Bengaluru,326,42,2026-07-08,Khare LLC,Phone 428,Electronics,Phone,2618,3295.1,853468,0.27,62.97,A
364,364,Bengaluru,234,26,2026-07-11,Varughese-Sarna,Table 364,Home,Table,3646,6968.76,853164,0.27,63.24,A
8,8,Delhi,224,27,2026-05-13,Dhar-Dayal,Shirt 8,Clothing,Shirt,3796,7430.45,850304,0.27,63.51,A
100,100,Bengaluru,391,79,2026-05-20,Patil-Shetty,Jacket 100,Clothing,Jacket,2174,3238.44,850034,0.27,63.78,A
490,490,Delhi,246,79,2026-05-17,Minhas-Shan,Jeans 490,Clothing,Jeans,3437,4557.66,845502,0.27,64.05,A
421,421,Mumbai,234,49,2026-06-20,Jaggi-Bedi,Lamp 421,Home,Lamp,3608,5113.6,844272,0.27,64.31,A
362,362,Mumbai,178,67,2026-06-07,Dixit-Ranganathan,Football 362,Sports,Football,4662,6641.86,829836,0.26,64.57,A
202,202,Delhi,209,74,2026-06-09,Iyer Inc,Lamp 202,Home,Lamp,3968,7193.16,829312,0.26,64.84,A
79,79,Delhi,419,50,2026-05-21,Rajagopalan-Balay,Lamp 79,Home,Lamp,1975,3832.06,827525,0.26,65.1,A
33,33,Mumbai,225,67,2026-07-06,Mittal-Handa,Shirt 33,Clothing,Shirt,3670,4807.58,825750,0.26,65.36,A
357,357,Mumbai,216,50,2026-05-22,Samra and Sons,Shirt 357,Clothing,Shirt,3809,6297.26,822744,0.26,65.62,A
102,102,Mumbai,315,67,2026-06-07,"Parmar, Sangha and Dara",Helmet 102,Sports,Helmet,2602,4481.31,819630,0.26,65.88,A
352,352,Delhi,392,65,2026-04-26,"Dalal, Prabhu and Bala",Table 352,Home,Table,2062,3081.36,808304,0.26,66.13,A
265,265,Bengaluru,384,40,2026-06-28,Jha PLC,Tablet 265,Electronics,Tablet,2101,2530.64,806784,0.25,66.39,A
165,165,Mumbai,265,60,2026-06-16,Bandi LLC,Shoes 165,Clothing,Shoes,3036,4747.22,804540,0.25,66.64,A
347,347,Delhi,308,27,2026-05-10,Balasubramanian Ltd,Tablet 347,Electronics,Tablet,2609,4191.19,803572,0.25,66.89,A
111,111,Mumbai,377,68,2026-07-12,Majumdar Group,Headphones 111,Electronics,Headphones,2122,3949.81,799994,0.25,67.15,A
147,147,Hyderabad,335,47,2026-05-29,Walla Inc,Tablet 147,Electronics,Tablet,2385,4662.12,798975,0.25,67.4,A
398,398,Mumbai,193,47,2026-07-07,Murty-Bala,Shirt 398,Clothing,Shirt,4138,7171.06,798634,0.25,67.65,A
322,322,Delhi,411,28,2026-07-20,Bandi-Naidu,Table 322,Home,Table,1940,3208.84,797340,0.25,67.9,A
461,461,Hyderabad,373,31,2026-05-31,"Saini, Varty and Dani",Gloves 461,Sports,Gloves,2131,3066.15,794863,0.25,68.15,A
62,62,Delhi,223,53,2026-06-11,Loyal Inc,Cricket Bat 62,Sports,Cricket Bat,3550,5152.86,791650,0.25,68.4,A
365,365,Mumbai,345,34,2026-07-06,Savant-Pandit,Helmet 365,Sports,Helmet,2287,4288.84,789015,0.25,68.65,A
382,382,Mumbai,452,20,2026-04-27,Reddy PLC,Shirt 382,Clothing,Shirt,1722,2587.25,778344,0.25,68.9,A
218,218,Hyderabad,250,35,2026-05-26,Shanker-Kannan,Chair 218,Home,Chair,3083,6069.62,770750,0.24,69.14,A
489,489,Hyderabad,431,61,2026-06-12,"Nayar, Sodhi and Basu",Chair 489,Home,Chair,1776,2552.64,765456,0.24,69.38,A
293,293,Mumbai,383,31,2026-04-30,Handa LLC,Table 293,Home,Table,1973,2581.11,755659,0.24,69.62,A
332,332,Mumbai,424,29,2026-05-17,"Sekhon, Sura and Ganguly",Table 332,Home,Table,1746,2877.0,740304,0.23,69.85,A
123,123,Hyderabad,164,24,2026-05-19,"Brahmbhatt, Shan and Mani",Helmet 123,Sports,Helmet,4514,8072.26,740296,0.23,70.09,A
39,39,Bengaluru,215,52,2026-06-08,Murty-Vig,Shoes 39,Clothing,Shoes,3439,6587.59,739385,0.23,70.32,A
153,153,Hyderabad,162,37,2026-06-16,"Bandi, Pandit and Dhaliwal",Headphones 153,Electronics,Headphones,4537,6620.14,734994,0.23,70.55,A
363,363,Delhi,239,77,2026-07-12,More-Sharaf,Jeans 363,Clothing,Jeans,3071,5689.08,733969,0.23,70.79,A
37,37,Mumbai,241,25,2026-07-17,"Viswanathan, Bahri and Bava",Phone 37,Electronics,Phone,3030,5238.7,730230,0.23,71.02,A
68,68,Mumbai,308,60,2026-06-03,Kapadia-Mane,Gloves 68,Sports,Gloves,2344,4285.8,721952,0.23,71.24,A
313,313,Mumbai,406,72,2026-05-18,Halder-Kant,Shirt 313,Clothing,Shirt,1763,3439.8,715778,0.23,71.47,A
193,193,Hyderabad,267,36,2026-05-31,"Agate, Barman and Korpal",Laptop 193,Electronics,Laptop,2680,3614.63,715560,0.23,71.7,A
184,184,Delhi,180,29,2026-05-13,Khalsa-Raju,Jacket 184,Clothing,Jacket,3950,7874.34,711000,0.22,71.92,A
105,105,Delhi,188,46,2026-04-22,Dalal Ltd,Jeans 105,Clothing,Jeans,3765,5377.82,707820,0.22,72.14,A
168,168,Bengaluru,182,54,2026-05-18,Arya Ltd,Shirt 168,Clothing,Shirt,3876,5771.23,705432,0.22,72.37,A
439,439,Mumbai,443,41,2026-07-19,"Bajwa, Bhalla and Balan",Tablet 439,Electronics,Tablet,1588,2201.83,703484,0.22,72.59,A
162,162,Hyderabad,226,25,2026-05-14,Memon-Tank,Cricket Bat 162,Sports,Cricket Bat,3073,4802.57,694498,0.22,72.81,A
88,88,Delhi,174,62,2026-04-29,Datta Ltd,Laptop 88,Electronics,Laptop,3987,6662.47,693738,0.22,73.03,A
473,473,Delhi,172,55,2026-05-10,"Kala, Divan and Prashad",Shirt 473,Clothing,Shirt,4021,7275.38,691612,0.22,73.24,A
52,52,Bengaluru,249,26,2026-07-07,Sachdeva Ltd,Phone 52,Electronics,Phone,2774,4710.36,690726,0.22,73.46,A
144,144,Delhi,256,30,2026-04-24,Deep Inc,Jeans 144,Clothing,Jeans,2679,3877.76,685824,0.22,73.68,A
155,155,Delhi,145,21,2026-04-26,Sekhon Ltd,Tablet 155,Electronics,Tablet,4701,8500.19,681645,0.22,73.89,A
408,408,Hyderabad,168,78,2026-04-28,Buch-Jhaveri,Cricket Bat 408,Sports,Cricket Bat,4022,7607.99,675696,0.21,74.11,A
167,167,Delhi,141,72,2026-07-06,Natarajan-Oommen,Laptop 167,Electronics,Laptop,4782,7148.3,674262,0.21,74.32,A
177,177,Delhi,269,21,2026-04-25,Kata Group,Tablet 177,Electronics,Tablet,2505,3753.19,673845,0.21,74.53,A
418,418,Delhi,439,20,2026-06-01,Rattan Ltd,Chair 418,Home,Chair,1527,2976.77,670353,0.21,74.75,A
22,22,Mumbai,274,50,2026-07-15,Ramaswamy-Kunda,Shoes 22,Clothing,Shoes,2427,4221.41,664998,0.21,74.96,A
