CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
43,200,16,195069.21,1,4,4,144,Big Spenders
44,10,12,152860.7,4,3,4,434,Loyal Customers
45,76,9,82712.47,2,2,2,222,Regular Customers
46,43,13,133124.96,3,4,3,343,Regular Customers
47,193,10,101301.91,1,2,2,122,At Risk
48,69,11,90849.23,2,3,2,232,Regular Customers
49,64,7,52142.74,2,1,1,211,Regular Customers
50,13,11,88820.96,4,3,2,432,Loyal Customers
51,87,11,178627.96,2,3,4,234,Big Spenders
52,111,10,93294.98999999999,1,2,2,122,At Risk
53,9,16,130535.13,4,4,3,443,Loyal Customers
54,5,5,62030.7,4,1,1,411,Regular Customers
55,50,17,190629.75,3,4,4,344,Big Spenders
56,14,9,84333.7,4,2,2,422,Regular Customers
57,47,15,207354.54,3,4,4,344,Big Spenders
58,46,15,187583.29,3,4,4,344,Big Spenders
59,16,9,93332.75,4,2,2,422,Regular Customers
60,44,12,163742.52,3,3,4,334,Big Spenders
61,186,7,86819.39,1,1,2,112,At Risk
62,63,12,123110.93999999999,2,3,3,233,Regular Customers
63,89,9,156468.84,2,2,4,224,Big Spenders
64,20,10,142529.16999999998,4,2,4,424,Big Spenders
65,5,15,176634.8,4,4,4,444,Champions
66,321,8,108485.91,1,1,3,113,At Risk
67,86,11,129322.98999999999,2,3,3,233,Regular Customers
68,137,9,96420.63,1,2,2,122,At Risk
69,117,9,91060.19,1,2,2,122,At Risk
70,63,10,110347.11,2,2,3,223,Regular Customers
71,21,14,118231.9,4,4,3,443,Loyal Customers
72,10,18,185100.54,4,4,4,444,Champions
73,105,8,84930.35,1,1,2,112,At Risk
74,31,12,137689.52,3,3,4,334,Big Spenders
75,21,15,100949.2,4,4,2,442,Loyal Customers
76,9,6,85145.0,4,1,2,412,Regular Customers
77,110,9,104039.03,1,2,2,122,At Risk
78,70,7,56232.28,2,1,1,211,Regular Customers
79,54,19,204017.23,2,4,4,244,Big Spenders
80,35,8,77870.51,3,1,2,312,Regular Customers
81,55,10,119258.99,2,2,3,223,Regular Customers
82,193,9,85041.74,1,2,2,122,At Risk
83,59,11,109481.53,2,3,3,233,Regular Customers
84,1,11,205283.97,4,3,4,434,Loyal Customers
85,52,15,214552.86,2,4,4,244,Big Spenders
86,116,8,57924.21,1,1,1,111,At Risk
87,57,12,144404.59,2,3,4,234,Big Spenders
88,43,10,149685.17,3,2,4,324,Big Spenders
89,65,10,146382.91,2,2,4,224,Big Spenders
90,15,11,114421.78,4,3,3,433,Loyal Customers
91,197,7,102850.59,1,1,2,112,At Risk
92,31,12,77354.65,3,3,2,332,Regular Customers
93,37,12,192521.77,3,3,4,334,Big Spenders
94,10,20,192053.24,4,4,4,444,Champions
95,135,15,170126.37,1,4,4,144,Big Spenders
96,48,6,48435.1,3,1,1,311,Regular Customers
97,35,10,89834.26,3,2,2,322,Regular Customers
98,10,11,175060.96,4,3,4,434,Loyal Customers
99,17,12,102690.42,4,3,2,432,Loyal Customers
100,35,7,50422.01,3,1,1,311,Regular Customers
101,2,15,159438.37,4,4,4,444,Champions
102,134,14,149486.59,1,4,4,144,Big Spenders
103,148,4,41379.17999999999,1,1,1,111,At Risk
104,184,7,95192.48000000001,1,1,2,112,At Risk
105,26,14,174903.97,3,4,4,344,Big Spenders
106,371,6,65297.44,1,1,1,111,At Risk
107,21,12,174269.25999999998,4,3,4,434,Loyal Customers
108,15,11,119633.84,4,3,3,433,Loyal Customers
109,40,10,94909.43,3,2,2,322,Regular Customers
110,4,16,163886.29,4,4,4,444,Champions
111,10,12,120686.74,4,3,3,433,Loyal Customers
112,9,10,139746.22999999998,4,2,4,424,Big Spenders
113,14,8,100581.51000000001,4,1,2,412,Regular Customers
114,34,15,142742.28,3,4,4,344,Big Spenders
115,213,5,37704.98,1,1,1,111,At Risk
116,161,8,91867.17,1,1,2,112,At Risk
117,2,15,182818.84,4,4,4,444,Champions
118,164,13,139871.21,1,4,4,144,Big Spenders
119,165,10,115023.5,1,2,3,123,At Risk
120,11,15,264815.77,4,4,4,444,Champions
121,254,6,53031.15,1,1,1,111,At Risk
122,56,14,172945.05,2,4,4,244,Big Spenders
123,89,7,99425.02,2,1,2,212,Regular Customers
124,40,8,78307.63,3,1,2,312,Regular Customers
125,60,10,118860.02,2,2,3,223,Regular Customers
126,16,8,87347.18000000001,4,1,2,412,Regular Customers
127,26,10,115781.92,3,2,3,323,Regular Customers
128,219,9,142113.82,1,2,4,124,Big Spenders
129,161,5,65258.28,1,1,1,111,At Risk
130,11,13,178426.57,4,4,4,444,Champions
131,21,11,143066.77,4,3,4,434,Loyal Customers
132,121,5,90302.07999999999,1,1,2,112,At Risk
133,18,14,143630.94,4,4,4,444,Champions
134,35,11,151676.06,3,3,4,334,Big Spenders
135,8,10,110993.26000000001,4,2,3,423,Regular Customers
136,78,10,102836.6,2,2,2,222,Regular Customers
137,31,9,109740.81999999999,3,2,3,323,Regular Customers
138,10,4,40230.16,4,1,1,411,Regular Customers
139,12,11,118358.32,4,3,3,433,Loyal Customers
140,15,10,112060.61,4,2,3,423,Regular Customers
141,1,14,145798.59,4,4,4,444,Champions
142,256,10,117513.73,1,2,3,123,At Risk
143,63,10,92492.1,2,2,2,222,Regular Customers
144,189,9,98030.55,1,2,2,122,At Risk
145,29,14,210711.58000000002,3,4,4,344,Big Spenders
146,24,14,141745.38,3,4,4,344,Big Spenders
147,8,11,128604.65,4,3,3,433,Loyal Customers
148,61,13,181920.13,2,4,4,244,Big Spenders
149,4,15,158371.57,4,4,4,444,Champions
150,3,7,54712.61,4,1,1,411,Regular Customers
151,2,13,98216.67,4,4,2,442,Loyal Customers
152,95,10,71161.84,2,2,1,221,Regular Customers
153,16,16,177571.51,4,4,4,444,Champions
154,139,8,127399.52,1,1,3,113,At Risk
155,10,13,153212.41,4,4,4,444,Champions
156,52,10,141653.97,2,2,4,224,Big Spenders
157,42,10,146708.98,3,2,4,324,Big Spenders
158,125,11,88549.48,1,3,2,132,At Risk
159,23,13,110367.89,3,4,3,343,Regular Customers
160,74,14,170673.79,2,4,4,244,Big Spenders
161,55,11,134051.82,2,3,3,233,Regular Customers
162,22,10,105047.61,3,2,3,323,Regular Customers
163,17,11,126702.38,4,3,3,433,Loyal Customers
164,45,10,134600.02000000002,3,2,3,323,Regular Customers
165,1,10,113997.27,4,2,3,423,Regular Customers
166,1,9,113144.65,4,2,3,423,Regular Customers
167,46,10,162631.31,3,2,4,324,Big Spenders
168,105,10,79294.87,1,2,2,122,At Risk
169,20,14,120699.89,4,4,3,443,Loyal Customers
170,66,9,76083.4,2,2,1,221,Regular Customers
171,98,12,156219.22,2,3,4,234,Big Spenders
172,148,9,63911.22,1,2,1,121,At Risk
173,97,9,48055.55,2,2,1,221,Regular Customers
174,112,12,119745.78,1,3,3,133,At Risk
175,35,13,155208.91999999998,3,4,4,344,Big Spenders
176,35,11,124464.49,3,3,3,333,Regular Customers
177,76,8,101927.76,2,1,2,212,Regular Customers
178,3,16,125928.48000000001,4,4,3,443,Loyal Customers
179,127,10,71142.4,1,2,1,121,At Risk
180,256,8,47985.0,1,1,1,111,At Risk
181,10,11,89986.6,4,3,2,432,Loyal Customers
182,13,11,119048.15,4,3,3,433,Loyal Customers
183,7,11,155435.88,4,3,4,434,Loyal Customers
184,1,14,166703.75,4,4,4,444,Champions
185,118,15,97576.4,1,4,2,142,At Risk
186,218,7,35291.62,1,1,1,111,At Risk
187,139,12,174905.63,1,3,4,134,Big Spenders
188,72,6,29596.45,2,1,1,211,Regular Customers
189,23,6,51050.56,3,1,1,311,Regular Customers
190,69,8,94405.43000000001,2,1,2,212,Regular Customers
191,2,10,67765.28,4,2,1,421,Regular Customers
192,22,8,105726.46,3,1,3,313,Regular Customers
193,192,7,68446.70999999999,1,1,1,111,At Risk
194,14,17,93500.2,4,4,2,442,Loyal Customers
195,184,11,143752.28,1,3,4,134,Big Spenders
196,22,8,85695.73,3,1,2,312,Regular Customers
197,15,8,85989.26,4,1,2,412,Regular Customers
198,82,10,64190.65,2,2,1,221,Regular Customers
199,10,13,94311.63,4,4,2,442,Loyal Customers
200,129,9,53471.200000000004,1,2,1,121,At Risk
201,14,15,125353.89,4,4,3,443,Loyal Customers
202,17,11,98233.12,4,3,2,432,Loyal Customers
203,271,5,79155.83,1,1,2,112,At Risk
204,40,10,121835.69,3,2,3,323,Regular Customers
205,59,14,137868.91999999998,2,4,4,244,Big Spenders
206,159,4,24270.13,1,1,1,111,At Risk
207,124,7,105097.47,1,1,3,113,At Risk
208,37,10,113643.51000000001,3,2,3,323,Regular Customers
209,85,14,114351.94,2,4,3,243,Regular Customers
210,41,9,48574.98,3,2,1,321,Regular Customers
211,24,11,134194.13,3,3,3,333,Regular Customers
212,114,6,68337.58,1,1,1,111,At Risk
213,123,4,46240.06,1,1,1,111,At Risk
214,31,14,145922.51,3,4,4,344,Big Spenders
215,6,10,137866.19,4,2,4,424,Big Spenders
216,4,13,155552.91,4,4,4,444,Champions
217,8,12,133056.99,4,3,3,433,Loyal Customers
218,46,16,204620.7,3,4,4,344,Big Spenders
219,23,10,183976.07,3,2,4,324,Big Spenders
220,169,11,118905.81999999999,1,3,3,133,At Risk
221,68,7,89189.36,2,1,2,212,Regular Customers
222,46,8,67465.06,3,1,1,311,Regular Customers
223,126,9,85837.83,1,2,2,122,At Risk
224,184,6,57152.32,1,1,1,111,At Risk
225,4,11,62664.91,4,3,1,431,Loyal Customers
226,61,13,196749.4,2,4,4,244,Big Spenders
227,77,7,75316.95,2,1,1,211,Regular Customers
228,14,8,98167.03000000001,4,1,2,412,Regular Customers
229,140,9,78918.57,1,2,2,122,At Risk
230,226,6,83819.58,1,1,2,112,At Risk
231,177,7,147015.42,1,1,4,114,Big Spenders
232,40,13,148175.94,3,4,4,344,Big Spenders
233,2,12,182062.53,4,3,4,434,Loyal Customers
234,105,9,151511.25,1,2,4,124,Big Spenders
235,31,14,123530.02,3,4,3,343,Regular Customers
236,101,10,93193.84,2,2,2,222,Regular Customers
237,31,12,108106.08,3,3,3,333,Regular Customers
238,20,11,93627.97,4,3,2,432,Loyal Customers
239,28,11,128483.82,3,3,3,333,Regular Customers
240,162,6,49542.96,1,1,1,111,At Risk
241,53,7,78092.01,2,1,2,212,Regular Customers
242,38,8,44525.229999999996,3,1,1,311,Regular Customers
243,106,13,174490.09,1,4,4,144,Big Spenders
244,138,10,74690.36,1,2,1,121,At Risk
245,77,15,179642.98,2,4,4,244,Big Spenders
246,41,10,145065.56,3,2,4,324,Big Spenders
247,127,9,61309.55,1,2,1,121,At Risk
248,1,10,128566.01000000001,4,2,3,423,Regular Customers
249,46,12,139080.89,3,3,4,334,Big Spenders
250,23,8,28558.11,3,1,1,311,Regular Customers
251,82,5,39119.27,2,1,1,211,Regular Customers
252,91,8,79261.98,2,1,2,212,Regular Customers
253,20,8,106554.54000000001,4,1,3,413,Regular Customers
254,99,10,110418.17000000001,2,2,3,223,Regular Customers
255,73,14,122886.87999999999,2,4,3,243,Regular Customers
256,4,17,221272.72,4,4,4,444,Champions
257,93,8,63838.649999999994,2,1,1,211,Regular Customers
258,77,13,176475.8,2,4,4,244,Big Spenders
259,86,10,79308.17,2,2,2,222,Regular Customers
260,164,10,105921.56,1,2,3,123,At Risk
261,28,5,20447.61,3,1,1,311,Regular Customers
262,113,8,104131.33,1,1,2,112,At Risk
263,193,7,45016.02,1,1,1,111,At Risk
264,1,8,72209.6,4,1,1,411,Regular Customers
265,8,13,123136.94,4,4,3,443,Loyal Customers
266,3,8,62328.16,4,1,1,411,Regular Customers
267,140,9,162856.43,1,2,4,124,Big Spenders
268,53,7,59453.29,2,1,1,211,Regular Customers
269,9,8,94269.41,4,1,2,412,Regular Customers
270,57,12,119108.84,2,3,3,233,Regular Customers
271,67,5,58475.71,2,1,1,211,Regular Customers
272,91,11,109274.14,2,3,3,233,Regular Customers
273,350,7,49985.16,1,1,1,111,At Risk
274,18,5,82740.14,4,1,2,412,Regular Customers
275,37,9,101816.9,3,2,2,322,Regular Customers
276,40,4,35147.78,3,1,1,311,Regular Customers
277,18,12,133788.63,4,3,3,433,Loyal Customers
278,4,13,140530.39,4,4,4,444,Champions
279,24,11,80320.43,3,3,2,332,Regular Customers
280,112,11,101491.21,1,3,2,132,At Risk
281,40,11,109430.92000000001,3,3,3,333,Regular Customers
282,58,9,86060.11,2,2,2,222,Regular Customers
283,33,5,77483.83,3,1,2,312,Regular Customers
284,164,7,82533.19,1,1,2,112,At Risk
285,79,9,77509.67,2,2,2,222,Regular Customers
286,5,7,60383.18,4,1,1,411,Regular Customers
287,141,7,68262.31,1,1,1,111,At Risk
288,1,10,101891.88,4,2,2,422,Regular Customers
289,26,14,125515.78,3,4,3,343,Regular Customers
290,177,9,120713.86,1,2,3,123,At Risk
291,7,10,116443.42,4,2,3,423,Regular Customers
292,40,10,73826.52,3,2,1,321,Regular Customers
293,102,10,90044.83,2,2,2,222,Regular Customers
294,16,14,104333.77,4,4,2,442,Loyal Customers
295,40,12,177589.33,3,3,4,334,Big Spenders
296,62,13,147696.2,2,4,4,244,Big Spenders
297,263,6,33415.68,1,1,1,111,At Risk
298,13,10,79076.29,4,2,2,422,Regular Customers
299,17,7,75313.67,4,1,1,411,Regular Customers
300,21,16,219632.53,4,4,4,444,Champions
301,248,4,45309.9,1,1,1,111,At Risk
302,117,10,65305.69,1,2,1,121,At Risk
303,51,9,82512.87,3,2,2,322,Regular Customers
304,86,13,136952.29,2,4,4,244,Big Spenders
305,107,6,111797.11,1,1,3,113,At Risk
306,38,8,41494.55,3,1,1,311,Regular Customers
307,91,10,137790.36000000002,2,2,4,224,Big Spenders
308,119,10,104007.26,1,2,2,122,At Risk
309,10,5,53091.15,4,1,1,411,Regular Customers
310,131,15,80077.16,1,4,2,142,At Risk
311,31,12,141888.44,3,3,4,334,Big Spenders
312,25,9,89093.88,3,2,2,322,Regular Customers
313,103,12,89854.64,1,3,2,132,At Risk
314,8,10,85785.9,4,2,2,422,Regular Customers
315,87,6,104779.98,2,1,3,213,Regular Customers
316,6,8,60243.96,4,1,1,411,Regular Customers
317,355,6,53569.75,1,1,1,111,At Risk
318,38,6,70542.33,3,1,1,311,Regular Customers
319,95,6,48967.880000000005,2,1,1,211,Regular Customers
320,32,13,136383.94,3,4,4,344,Big Spenders
321,102,6,55434.03999999999,2,1,1,211,Regular Customers
322,163,5,20431.69,1,1,1,111,At Risk
323,101,15,146833.36000000002,2,4,4,244,Big Spenders
324,124,11,74625.81,1,3,1,131,At Risk
325,122,9,76145.51,1,2,1,121,At Risk
326,54,16,189308.64,2,4,4,244,Big Spenders
327,89,5,47155.9,2,1,1,211,Regular Customers
328,92,12,99060.65,2,3,2,232,Regular Customers
329,229,5,35100.31,1,1,1,111,At Risk
330,21,20,237754.81,4,4,4,444,Champions
331,41,9,113257.06999999999,3,2,3,323,Regular Customers
332,26,9,52642.119999999995,3,2,1,321,Regular Customers
333,61,15,189921.77000000002,2,4,4,244,Big Spenders
334,275,6,90590.89,1,1,2,112,At Risk
335,5,7,58111.17,4,1,1,411,Regular Customers
336,227,4,22524.190000000002,1,1,1,111,At Risk
337,79,7,51198.369999999995,2,1,1,211,Regular Customers
338,43,12,90288.36,3,3,2,332,Regular Customers
339,9,4,40026.729999999996,4,1,1,411,Regular Customers
340,67,11,124132.46,2,3,3,233,Regular Customers
341,92,18,219158.45,2,4,4,244,Big Spenders
342,42,11,136197.78,3,3,4,334,Big Spenders
343,4,10,66254.78,4,2,1,421,Regular Customers
344,31,9,93239.05,3,2,2,322,Regular Customers
345,164,7,66522.59,1,1,1,111,At Risk
346,31,11,207159.56,3,3,4,334,Big Spenders
347,40,11,123281.11,3,3,3,333,Regular Customers
348,28,9,79932.38,3,2,2,322,Regular Customers
349,65,8,56030.58,2,1,1,211,Regular Customers
350,7,9,88543.82,4,2,2,422,Regular Customers
351,17,7,104290.27,4,1,2,412,Regular Customers
352,16,7,75268.96,4,1,1,411,Regular Customers
353,16,14,181680.07,4,4,4,444,Champions
354,6,12,96481.28,4,3,2,432,Loyal Customers
355,9,10,134531.63999999998,4,2,3,423,Regular Customers
356,5,14,174636.98,4,4,4,444,Champions
357,17,9,84184.01,4,2,2,422,Regular Customers
358,21,10,99596.03,4,2,2,422,Regular Customers
359,1,11,155448.31,4,3,4,434,Loyal Customers
360,155,7,117622.42,1,1,3,113,At Risk
361,59,4,74070.18,2,1,1,211,Regular Customers
362,117,7,56975.42,1,1,1,111,At Risk
363,22,11,103233.31,3,3,2,332,Regular Customers
364,61,7,68731.01,2,1,1,211,Regular Customers
365,3,8,121137.09,4,1,3,413,Regular Customers
366,90,7,127800.47,2,1,3,213,Regular Customers
367,83,6,72008.34,2,1,1,211,Regular Customers
368,178,10,117566.44,1,2,3,123,At Risk
369,29,9,82503.27,3,2,2,322,Regular Customers
370,96,7,98619.51,2,1,2,212,Regular Customers
371,56,10,145940.6,2,2,4,224,Big Spenders
372,11,8,76195.4,4,1,1,411,Regular Customers
373,8,8,60795.53999999999,4,1,1,411,Regular Customers
374,23,9,102332.44,3,2,2,322,Regular Customers
375,81,20,190471.24,2,4,4,244,Big Spenders
376,262,9,127657.87,1,2,3,123,At Risk
377,136,8,73301.98000000001,1,1,1,111,At Risk
378,84,7,67965.73,2,1,1,211,Regular Customers
379,4,14,236811.99,4,4,4,444,Champions
380,113,12,97878.04,1,3,2,132,At Risk
381,55,6,68847.16,2,1,1,211,Regular Customers
382,11,7,101078.33,4,1,2,412,Regular Customers
383,255,10,105054.07,1,2,3,123,At Risk
384,97,8,88509.03,2,1,2,212,Regular Customers
385,53,8,68114.24,2,1,1,211,Regular Customers
386,20,19,138293.47,4,4,4,444,Champions
387,60,14,156998.73,2,4,4,244,Big Spenders
388,144,15,147926.29,1,4,4,144,Big Spenders
389,29,9,95825.43000000001,3,2,2,322,Regular Customers
390,64,6,83478.51,2,1,2,212,Regular Customers
391,84,11,94851.94,2,3,2,232,Regular Customers
392,7,16,141990.74,4,4,4,444,Champions
393,55,8,94573.98999999999,2,1,2,212,Regular Customers
394,89,10,98807.51,2,2,2,222,Regular Customers
395,59,13,155327.79,2,4,4,244,Big Spenders
396,62,13,107317.44,2,4,3,243,Regular Customers
397,42,13,114302.67,3,4,3,343,Regular Customers
398,52,15,139132.72,2,4,4,244,Big Spenders
399,26,14,168129.15,3,4,4,344,Big Spenders
400,152,7,76186.01,1,1,1,111,At Risk
401,52,6,81197.77,2,1,2,212,Regular Customers
402,27,10,153477.81,3,2,4,324,Big Spenders
403,66,15,190220.38,2,4,4,244,Big Spenders
404,97,11,179117.13,2,3,4,234,Big Spenders
405,15,8,91164.05,4,1,2,412,Regular Customers
406,96,13,135571.88,2,4,3,243,Regular Customers
407,1,10,102507.12,4,2,2,422,Regular Customers
408,20,11,82697.44,4,3,2,432,Loyal Customers
409,86,9,109975.23999999999,2,2,3,223,Regular Customers
410,71,9,111889.9,2,2,3,223,Regular Customers
411,4,8,77925.15000000001,4,1,2,412,Regular Customers
412,93,8,53827.72,2,1,1,211,Regular Customers
413,36,5,42685.51,3,1,1,311,Regular Customers
414,26,11,139067.03,3,3,4,334,Big Spenders
415,3,15,226466.22,4,4,4,444,Champions
416,178,6,58369.53,1,1,1,111,At Risk
417,98,18,191233.35,2,4,4,244,Big Spenders
418,197,8,90690.54000000001,1,1,2,112,At Risk
419,2,8,100553.53,4,1,2,412,Regular Customers
420,26,14,119120.3,3,4,3,343,Regular Customers
421,50,8,112312.85,3,1,3,313,Regular Customers
422,3,13,222091.67,4,4,4,444,Champions
423,22,11,138964.83000000002,3,3,4,334,Big Spenders
424,52,9,87077.63,2,2,2,222,Regular Customers
425,204,5,34152.54,1,1,1,111,At Risk
426,120,15,129925.95,1,4,3,143,At Risk
427,33,10,50586.3,3,2,1,321,Regular Customers
428,72,8,89913.2,2,1,2,212,Regular Customers
429,142,10,111633.69,1,2,3,123,At Risk
430,119,8,104593.70999999999,1,1,3,113,At Risk
431,55,9,102102.36,2,2,2,222,Regular Customers
432,67,13,141399.77,2,4,4,244,Big Spenders
433,261,7,27927.75,1,1,1,111,At Risk
434,57,9,90581.33,2,2,2,222,Regular Customers
435,4,5,68948.86,4,1,1,411,Regular Customers
436,18,7,73818.34999999999,4,1,1,411,Regular Customers
437,81,8,76504.76,2,1,1,211,Regular Customers
438,17,11,152369.41,4,3,4,434,Loyal Customers
439,74,10,122998.59,2,2,3,223,Regular Customers
440,191,3,42305.09,1,1,1,111,At Risk
441,5,12,159590.68,4,3,4,434,Loyal Customers
442,67,10,93455.92,2,2,2,222,Regular Customers
443,27,9,74000.76,3,2,1,321,Regular Customers
444,34,11,96157.01000000001,3,3,2,332,Regular Customers
445,28,7,106984.39,3,1,3,313,Regular Customers
446,47,12,125891.96,3,3,3,333,Regular Customers
447,98,11,127878.70999999999,2,3,3,233,Regular Customers
448,93,10,105180.52,2,2,3,223,Regular Customers
449,3,10,97781.26000000001,4,2,2,422,Regular Customers
450,146,10,120288.5,1,2,3,123,At Risk
451,90,11,129073.31999999999,2,3,3,233,Regular Customers
452,93,9,65439.1,2,2,1,221,Regular Customers
453,145,8,50108.88,1,1,1,111,At Risk
454,101,10,109053.25,2,2,3,223,Regular Customers
455,27,9,127976.17,3,2,3,323,Regular Customers
456,86,15,164498.54,2,4,4,244,Big Spenders
457,68,10,161675.17,2,2,4,224,Big Spenders
458,74,10,70583.68000000001,2,2,1,221,Regular Customers
459,25,9,89701.68,3,2,2,322,Regular Customers
460,44,13,148882.44,3,4,4,344,Big Spenders
461,50,11,97563.21,3,3,2,332,Regular Customers
462,90,12,93630.92,2,3,2,232,Regular Customers
463,20,16,134265.08,4,4,3,443,Loyal Customers
464,69,9,107502.68,2,2,3,223,Regular Customers
465,70,5,82137.70999999999,2,1,2,212,Regular Customers
466,315,4,46320.990000000005,1,1,1,111,At Risk
467,84,8,85675.64,2,1,2,212,Regular Customers
468,110,10,143381.53,1,2,4,124,Big Spenders
469,28,16,201828.43,3,4,4,344,Big Spenders
470,1,13,93625.2,4,4,2,442,Loyal Customers
471,79,10,88143.69,2,2,2,222,Regular Customers
472,125,12,72116.08,1,3,1,131,At Risk
473,17,11,158114.11,4,3,4,434,Loyal Customers
474,82,10,114012.95,2,2,3,223,Regular Customers
475,82,10,86019.91,2,2,2,222,Regular Customers
476,70,6,48643.86,2,1,1,211,Regular Customers
477,20,11,118500.67,4,3,3,433,Loyal Customers
478,9,9,98663.88,4,2,2,422,Regular Customers
479,31,7,60026.02,3,1,1,311,Regular Customers
480,33,9,105039.33,3,2,3,323,Regular Customers
481,63,8,117502.48000000001,2,1,3,213,Regular Customers
482,145,12,126522.2,1,3,3,133,At Risk
483,37,11,96670.31,3,3,2,332,Regular Customers
484,39,9,108475.22,3,2,3,323,Regular Customers
485,32,5,49429.85,3,1,1,311,Regular Customers
486,66,8,79164.01,2,1,2,212,Regular Customers
487,41,15,129699.72,3,4,3,343,Regular Customers
488,144,9,99320.98,1,2,2,122,At Risk
489,43,12,130633.08,3,3,3,333,Regular Customers
490,129,12,115768.23999999999,1,3,3,133,At Risk
491,59,6,80410.22,2,1,2,212,Regular Customers
492,102,5,96251.68,2,1,2,212,Regular Customers
493,35,10,78394.88,3,2,2,322,Regular Customers
494,59,8,119341.56,2,1,3,213,Regular Customers
495,16,11,115028.49,4,3,3,433,Loyal Customers
496,347,3,23070.390000000003,1,1,1,111,At Risk
497,26,10,90378.51,3,2,2,322,Regular Customers
498,100,6,37010.479999999996,2,1,1,211,Regular Customers
499,66,19,178437.94,2,4,4,244,Big Spenders
500,29,13,114348.96,3,4,3,343,Regular Customers
501,15,14,176190.35,4,4,4,444,Champions
502,126,9,149858.72,1,2,4,124,Big Spenders
503,38,9,116026.9,3,2,3,323,Regular Customers
504,36,10,109171.93999999999,3,2,3,323,Regular Customers
505,95,12,167426.42,2,3,4,234,Big Spenders
506,58,12,112976.34,2,3,3,233,Regular Customers
507,94,8,63236.83,2,1,1,211,Regular Customers
508,160,5,35610.2,1,1,1,111,At Risk
509,57,12,117570.35,2,3,3,233,Regular Customers
510,12,12,131568.64,4,3,3,433,Loyal Customers
511,31,7,69578.41,3,1,1,311,Regular Customers
512,38,6,37506.92,3,1,1,311,Regular Customers
513,50,10,118978.75,3,2,3,323,Regular Customers
514,349,3,58812.75,1,1,1,111,At Risk
515,20,15,210391.81,4,4,4,444,Champions
516,3,8,132502.51,4,1,3,413,Regular Customers
517,11,6,113790.2,4,1,3,413,Regular Customers
518,48,15,152870.45,3,4,4,344,Big Spenders
519,35,10,120718.52,3,2,3,323,Regular Customers
520,52,13,185415.15,2,4,4,244,Big Spenders
521,115,12,191787.13999999998,1,3,4,134,Big Spenders
522,69,12,100567.97,2,3,2,232,Regular Customers
523,117,6,62609.520000000004,1,1,1,111,At Risk
524,44,10,111848.28,3,2,3,323,Regular Customers
525,37,12,132195.76,3,3,3,333,Regular Customers
526,84,14,125795.98000000001,2,4,3,243,Regular Customers
527,109,11,109309.98,1,3,3,133,At Risk
528,1,9,151976.01,4,2,4,424,Big Spenders
529,274,7,46232.26,1,1,1,111,At Risk
530,46,12,117344.54000000001,3,3,3,333,Regular Customers
531,4,15,170533.54,4,4,4,444,Champions
532,107,6,81926.98999999999,1,1,2,112,At Risk
533,77,10,96690.5,2,2,2,222,Regular Customers
534,150,6,73363.22,1,1,1,111,At Risk
535,104,17,177848.71,1,4,4,144,Big Spenders
536,49,6,98985.1,3,1,2,312,Regular Customers
537,223,7,47870.78,1,1,1,111,At Risk
